[2026/02/16  3:40:02.39] Starting... 
[INFO] Waiting for server... (36/60
[INFO] Waiting for server... (35/60
[OK] Node.js found 
[OK] Changed to C:\Users\user\dev\study-visualizer\scripts\.. 
[INFO] Starting dev server... 
▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:4000
- Network:       http://172.19.80.1:4000
- Environments: .env.local

✓ Starting...
✓ Ready in 1063ms
 GET / 200 in 99ms (compile: 3ms, render: 96ms)
 GET / 200 in 101ms (compile: 17ms, render: 83ms)
 GET / 200 in 70ms (compile: 5ms, render: 65ms)
 GET / 200 in 74ms (compile: 19ms, render: 56ms)
 GET / 200 in 71ms (compile: 2ms, render: 68ms)
 GET / 200 in 105ms (compile: 31ms, render: 73ms)
 GET / 200 in 76ms (compile: 6ms, render: 70ms)
 GET / 200 in 78ms (compile: 22ms, render: 56ms)
 GET / 200 in 83ms (compile: 3ms, render: 80ms)
 GET / 200 in 106ms (compile: 39ms, render: 66ms)
 GET / 200 in 87ms (compile: 10ms, render: 78ms)
 GET / 200 in 85ms (compile: 39ms, render: 46ms)
 GET / 200 in 37ms (compile: 2ms, render: 35ms)
 GET / 200 in 101ms (compile: 5ms, render: 96ms)
 GET / 200 in 103ms (compile: 19ms, render: 84ms)
 GET / 200 in 105ms (compile: 32ms, render: 72ms)
 GET / 200 in 98ms (compile: 3ms, render: 95ms)
 GET / 200 in 117ms (compile: 31ms, render: 86ms)
 GET / 200 in 119ms (compile: 45ms, render: 74ms)
 GET / 200 in 44ms (compile: 7ms, render: 37ms)
 GET / 200 in 43ms (compile: 2ms, render: 40ms)
 GET / 200 in 140ms (compile: 6ms, render: 134ms)
 GET / 200 in 142ms (compile: 42ms, render: 100ms)
 GET / 200 in 87ms (compile: 40ms, render: 47ms)
 GET / 200 in 37ms (compile: 3ms, render: 34ms)
 GET / 200 in 87ms (compile: 5ms, render: 82ms)
 GET / 200 in 89ms (compile: 19ms, render: 70ms)
 GET / 200 in 41ms (compile: 4ms, render: 37ms)
 GET / 200 in 92ms (compile: 4ms, render: 88ms)
 GET / 200 in 96ms (compile: 34ms, render: 63ms)
 GET / 200 in 74ms (compile: 6ms, render: 68ms)
 GET / 200 in 76ms (compile: 20ms, render: 56ms)
 GET /gallery 200 in 108ms (compile: 6ms, render: 103ms)
 GET /api/images?page=1&limit=12 200 in 9ms (compile: 3ms, render: 6ms)
 GET /api/folders 200 in 7ms (compile: 3ms, render: 4ms)
 GET /api/images?page=1&limit=1 200 in 15ms (compile: 9ms, render: 6ms)
 GET /api/images?page=1&limit=1&folder_id=none 200 in 22ms (compile: 16ms, render: 5ms)
 GET /api/images?page=1&limit=12 200 in 12ms (compile: 5ms, render: 7ms)
 GET /api/folders 200 in 10ms (compile: 4ms, render: 6ms)
 GET /api/images?page=1&limit=1 200 in 19ms (compile: 12ms, render: 7ms)
 GET /api/images?page=1&limit=1&folder_id=none 200 in 28ms (compile: 21ms, render: 6ms)
 GET /api/uploads/2026/02/16/f89c42cd-37e1-4b8f-8a81-828c221bf945.jpg 200 in 34ms (compile: 26ms, render: 8ms)
 GET / 200 in 54ms (compile: 4ms, render: 50ms)
 GET / 200 in 51ms (compile: 3ms, render: 48ms)
 GET / 200 in 73ms (compile: 6ms, render: 67ms)
 GET / 200 in 77ms (compile: 21ms, render: 56ms)
 GET / 200 in 50ms (compile: 3ms, render: 47ms)
 GET / 200 in 70ms (compile: 6ms, render: 64ms)
 GET / 200 in 90ms (compile: 32ms, render: 57ms)
 GET / 200 in 56ms (compile: 7ms, render: 49ms)
 GET / 200 in 66ms (compile: 3ms, render: 63ms)
 GET / 200 in 70ms (compile: 32ms, render: 38ms)
 GET / 200 in 72ms (compile: 5ms, render: 68ms)
 GET / 200 in 75ms (compile: 18ms, render: 56ms)
 GET / 200 in 68ms (compile: 3ms, render: 65ms)
 GET / 200 in 93ms (compile: 31ms, render: 62ms)
 GET / 200 in 80ms (compile: 8ms, render: 71ms)
 GET / 200 in 78ms (compile: 41ms, render: 37ms)
 GET / 200 in 41ms (compile: 2ms, render: 39ms)
 GET / 200 in 46ms (compile: 6ms, render: 41ms)
 GET / 200 in 67ms (compile: 3ms, render: 65ms)
 GET / 200 in 71ms (compile: 33ms, render: 37ms)
 GET / 200 in 43ms (compile: 3ms, render: 40ms)
 GET / 200 in 102ms (compile: 6ms, render: 97ms)
 GET / 200 in 108ms (compile: 19ms, render: 89ms)
 GET / 200 in 110ms (compile: 33ms, render: 77ms)
 GET / 200 in 69ms (compile: 3ms, render: 66ms)
 GET / 200 in 72ms (compile: 32ms, render: 40ms)
 GET / 200 in 71ms (compile: 3ms, render: 68ms)
 GET / 200 in 74ms (compile: 33ms, render: 41ms)
 GET / 200 in 35ms (compile: 2ms, render: 33ms)
